Size,Smaller Delta,Temporary Delta,Open or Temporary Delta,Open or Open and Temporary Delta
2,1.0,1.0,1.0,1.0
3,3.27,2.79,3.27,2.98
4,8.45,6.06,8.32,6.96
5,18.76,10.1,17.57,12.81
6,51.32,21.56,39.78,27.06
7,149.26,45.02,113.7,60.1
8,380.04,74.62,217.54,102.26
9,1134.94,137.22,492.22,196.12
10,3464.1,270.28,1047.12,387.32
11,11657.98,779.0,2753.32,1133.84
12,39803.56,1462.96,7200.12,2348.7
13,117211.94,3749.86,14595.38,5547.44
14,414052.8,7902.14,38897.74,12454.12
15,1208354.94,18151.02,89822.34,29048.48
